"Driver.Age.Mean","Driver.Age.Median","Driver.Age.Sum","Total.Injured.Mean","Total.Injured.Median","Total.Injured.Sum","Total.Killed.Mean","Total.Killed.Median","Total.Killed.Sum","Total.Vehicles.Involve.Mean","Total.Vehicles.Involve.Median","Total.Vehicles.Involve.Sum","Crash.Hour.Mean","Crash.Hour.Median","Crash.Hour.Sum","Driver.Sex.M","Driver.Sex.F","Driver.Sex.M.pct","Driver.Sex.F.pct","Alcohol.Involved.Y","Alcohol.Involved.N","Alcohol.Involved.Y.pct","Alcohol.Involved.N.pct","Cell.Phone.In.Use.Flag.Y","Cell.Phone.In.Use.Flag.N","Cell.Phone.In.Use.Flag.Y.pct","Cell.Phone.In.Use.Flag.N.pct","Crash.Day.Of.Week.M","Crash.Day.Of.Week.TU","Crash.Day.Of.Week.W","Crash.Day.Of.Week.TH","Crash.Day.Of.Week.F","Crash.Day.Of.Week.SA","Crash.Day.Of.Week.S","Crash.Day.Of.Week.M.pct","Crash.Day.Of.Week.TU.pct","Crash.Day.Of.Week.W.pct","Crash.Day.Of.Week.TH.pct","Crash.Day.Of.Week.F.pct","Crash.Day.Of.Week.SA.pct","Crash.Day.Of.Week.S.pct","Crash.Weekend.TRUE","Crash.Weekend.FALSE","Crash.Weekend.TRUE.pct","Crash.Weekend.FALSE.pct","Crash.Weekday.TRUE","Crash.Weekday.FALSE","Crash.Weekday.TRUE.pct","Crash.Weekday.FALSE.pct","Latitude","Longitude","Crash.Count","Crash.Count.Rank"
49.8095238095238,50,1046,0.476190476190476,0,10,0,0,0,1.95238095238095,2,41,7.58823529411765,7,129,8,13,38.0952,61.9048,0,21,0,100,0,21,0,100,3,4,2,4,0,8,0,14.2857,19.0476,9.5238,19.0476,0,38.0952,0,8,13,38.0952,61.9048,8,13,38.0952,61.9048,"40.3018","-74.6829",21,737785
37.6,38.5,752,0.0952380952380952,0,2,0,0,0,2.04761904761905,2,43,12.0526315789474,12,229,10,10,50,50,0,21,0,100,0,21,0,100,2,8,3,4,1,0,3,9.5238,38.0952,14.2857,19.0476,4.7619,0,14.2857,0,21,0,100,12,9,57.1429,42.8571,"40.3007","-74.6751",21,737785
41.8095238095238,42,878,0.571428571428571,0,12,0,0,0,2.04761904761905,2,43,15.5714285714286,17,327,7,14,33.3333,66.6667,0,21,0,100,0,21,0,100,3,4,0,2,11,1,0,14.2857,19.0476,0,9.5238,52.381,4.7619,0,1,20,4.7619,95.2381,6,15,28.5714,71.4286,"40.3076","-74.6668",21,737785
49.8,51.5,996,0,0,0,0,0,0,2.14285714285714,2,45,13.0526315789474,13,248,11,9,55,45,0,21,0,100,0,21,0,100,0,6,7,4,2,2,0,0,28.5714,33.3333,19.0476,9.5238,9.5238,0,2,19,9.5238,90.4762,10,11,47.619,52.381,"40.3489","-74.6625",21,737785
38.7222222222222,40,697,0.0476190476190476,0,1,0,0,0,1.95238095238095,2,41,13.2857142857143,14,279,11,7,61.1111,38.8889,0,21,0,100,0,21,0,100,6,0,2,6,2,3,2,28.5714,0,9.5238,28.5714,9.5238,14.2857,9.5238,3,18,14.2857,85.7143,6,15,28.5714,71.4286,"40.3493","-74.661",21,737785
40,41,840,0.333333333333333,0,7,0,0,0,2.80952380952381,3,59,9.57894736842105,10,182,14,7,66.6667,33.3333,0,21,0,100,0,21,0,100,4,6,0,2,9,0,0,19.0476,28.5714,0,9.5238,42.8571,0,0,0,21,0,100,8,13,38.0952,61.9048,"40.3126","-74.6607",21,737785
37.9411764705882,39,645,0.19047619047619,0,4,0,0,0,1.95238095238095,2,41,14.6190476190476,14,307,10,7,58.8235,41.1765,0,21,0,100,0,21,0,100,7,4,2,2,4,2,0,33.3333,19.0476,9.5238,9.5238,19.0476,9.5238,0,2,19,9.5238,90.4762,6,15,28.5714,71.4286,"40.35","-74.6586",21,737785
37.35,38,747,0.0952380952380952,0,2,0,0,0,2.14285714285714,2,45,11.8095238095238,14,248,9,11,45,55,0,21,0,100,0,21,0,100,11,2,0,4,0,4,0,52.381,9.5238,0,19.0476,0,19.0476,0,4,17,19.0476,80.9524,6,15,28.5714,71.4286,"40.3316","-74.6378",21,737785
37.4761904761905,34,787,0.19047619047619,0,4,0,0,0,2.33333333333333,2,49,11,8,187,14,7,66.6667,33.3333,0,21,0,100,0,21,0,100,3,2,2,4,6,0,4,14.2857,9.5238,9.5238,19.0476,28.5714,0,19.0476,0,21,0,100,6,15,28.5714,71.4286,"40.3334","-74.6356",21,737785
36.4285714285714,36,765,0.428571428571429,0,9,0,0,0,2.52380952380952,2,53,13.6190476190476,15,286,10,11,47.619,52.381,0,21,0,100,0,21,0,100,2,2,5,4,4,4,0,9.5238,9.5238,23.8095,19.0476,19.0476,19.0476,0,4,17,19.0476,80.9524,6,15,28.5714,71.4286,"40.3367","-74.6317",21,737785
33.55,33.5,671,0.142857142857143,0,3,0,0,0,2.14285714285714,2,45,15.4761904761905,17,325,9,11,45,55,0,21,0,100,0,21,0,100,5,8,2,0,6,0,0,23.8095,38.0952,9.5238,0,28.5714,0,0,0,21,0,100,8,13,38.0952,61.9048,"40.3132","-74.6264",21,737785
45.3333333333333,45,952,0.19047619047619,0,4,0,0,0,1.95238095238095,2,41,12.6315789473684,10,240,8,13,38.0952,61.9048,0,21,0,100,0,21,0,100,4,4,2,5,2,4,0,19.0476,19.0476,9.5238,23.8095,9.5238,19.0476,0,4,17,19.0476,80.9524,9,12,42.8571,57.1429,"40.3135","-74.6197",21,737785
